followers,followees,numberOfPosts,imagePorcentage,sidecarPorcentage,videoPorcentage,isBusiness,isProfessional,hasLink,hideLikes,avgLikes,varLikes,avgComments,varComments,avgScore,varScore,avgTechScore,varTechScore,avgPhotosInSidecar,varPhotosInSidecar,avgTaggedUsers,varTaggedUsers,avgHeight,varHeight,avgWidth,varWidth,useLocation,isAccesible,cLength,cSubjectivity,cPolarity,cDifficultWords,cSecondsToRead,cEntropy,captionLength,captionSubjectivity,captionPolarity,captionDifficultWords,captionSecondsToRead,captionEntropy,captionAvgHashtags,captionVarHashtags,Photographer
154,181,50,13.33,86.67,0.0,False,False,False,True,45.367,193.232,0.2,0.427,4.829,0.128,4.936,0.227,4,1.485,0.033,0.032,1202.4,53024.173,1080.0,53024.173,False,False,82.0,0,1,2.0,3.258,4.053,623.833,1,1,15.133,24.263,4.461,17.967,1.432,False
1422,1847,694,96.77,0.0,3.23,False,True,True,False,13.8,30.027,5.2,5.693,5.14,0.175,5.825,0.403,0,0,1.1,0.09,1256.967,13818.699,1080.0,13818.699,False,True,36.235,0,0,1.843,1.53,3.966,515.2,1,0,26.067,21.503,4.549,29.133,14.782,True
783,632,2082,76.67,23.33,0.0,False,True,False,False,35.533,105.116,1.033,1.232,5.178,0.189,4.675,0.298,5,0.98,0.0,0.0,1068.5,24062.117,1080.0,24062.117,True,True,29.935,0,0,1.871,1.296,3.891,255.867,0,0,14.433,11.079,4.162,19.367,32.166,True
3669,1564,739,20.0,34.55,45.45,False,True,True,False,206.567,12660.512,13.4,347.173,5.292,0.129,4.762,0.356,3,3.668,0.2,0.827,1237.167,48529.472,1080.0,48529.472,True,True,41.338,0,0,2.227,1.752,3.86,672.0,1,1,23.7,26.386,4.348,5.433,2.446,True
200,353,335,100.0,0.0,0.0,False,True,True,False,19.133,23.249,0.433,0.712,5.568,0.171,4.761,0.236,0,0,0.0,0.0,962.733,48465.862,1080.0,48465.862,False,True,33.615,0,0,1.077,1.35,3.698,75.867,0,0,3.7,3.145,4.111,3.7,3.143,True
16084,7440,3642,62.16,18.92,18.92,True,True,True,False,0.767,0.912,0.0,0.0,5.212,0.038,5.057,0.528,2,0.245,0.0,0.0,1098.6,74186.44,1000.0,74186.44,False,False,0,0,0,0,0,0,1776.033,1,1,59.3,72.658,4.669,30.0,0.0,False
43,20,9,100.0,0.0,0.0,False,True,False,True,0,0,0.556,0.469,4.403,0.139,5.508,0.165,0,0,0.333,0.222,1061.222,192718.395,874.444,192718.395,False,True,31.2,1,0,1.6,1.328,4.09,88.333,1,0,5.333,3.697,4.273,8.667,3.556,True
10439,7479,2440,100.0,0.0,0.0,True,True,True,False,218.967,13600.366,8.433,66.312,5.545,0.118,5.528,0.336,0,0,1.933,1.729,1080.0,0.0,1080.0,0.0,False,True,23.688,0,0,1.664,1.046,3.636,222.733,0,0,13.333,9.373,4.483,8.367,19.432,False
238,136,12,100.0,0.0,0.0,False,True,True,False,49.167,150.806,0.0,0.0,5.025,0.089,6.068,0.09,0,0,0.75,0.188,1245.0,55125.0,1080.0,55125.0,True,True,0,0,0,0,0,0,455.083,0,1,14.833,18.42,4.496,17.75,19.521,False
769,1524,1358,90.0,10.0,0.0,False,True,False,False,25.433,242.979,0.733,1.196,4.855,0.137,5.056,0.282,5,0.667,2.967,0.766,1077.1,6669.89,1080.0,6669.89,True,True,43.045,0,0,2.136,1.776,3.937,405.138,0,0,25.793,17.563,4.533,26.793,29.268,False
